STT,Tên địa điểm,Loại hình
1,Chùa Vĩnh Tràng,Tôn giáo / Kiến trúc
2,Chợ nổi Cái Bè,Chợ nổi / Văn hoá
3,Cù Lao Thới Sơn,Miệt vườn / Đảo
4,Vườn trái cây Vĩnh Kim,Vườn trái cây / Trải nghiệm
5,Biển Tân Thành (Gò Công),Bãi biển / Nghỉ dưỡng
6,Thiền viện Trúc Lâm Chánh Giác,Thiền viện / Tâm linh
7,Trại rắn Đồng Tâm,Trại rắn / Trung tâm bảo tồn
8,Làng cổ Đông Hòa Hiệp, Di tích
9,Nhà thờ Cái Bè,Nhà thờ / Kiến trúc
10,Di tích Rạch Gầm – Xoài Mút,Di tích
11,Cồn Tân Long (Mỹ Tho),Cồn / Sinh thái
12,Cầu Rạch Miễu,Công trình / Kiến trúc
13,Vườn hoa Mãn Đình Hồng,Vườn hoa / Check-in
14,Chùa Linh Thứu (Sắc Tứ Linh Thứu),Tôn giáo / Kiến trúc
15,Cù lao Tân Phong,Cù lao / Vườn trái cây
16,Khu di tích Chiến thắng Ấp Bắc,Di tích lịch sử / Văn hoá
17,Vườn trái cây Cái Bè (các vườn địa phương),Vườn trái cây / Trải nghiệm
18,Tượng đài Thủ Khoa Huân,Tượng đài / Di tích địa phương
19,Chợ Hàng Bông (Chợ Mỹ Tho),Chợ truyền thống / Ẩm thực
20,Nhà cổ Ba Kiệt (Cù lao Tân Phong),Nhà cổ / Di tích
